date,cpi
2020-09-30,100.7
2020-10-31,104.2
2020-11-30,109.5
2020-12-31,114.5
2021-01-31,114.9
2021-02-28,117.6
2021-03-31,122.7
2021-04-30,123.9
2021-05-31,124.7
2021-06-30,129.3
2021-07-31,131.5
2021-08-31,135.6
2021-09-30,141.0
2021-10-31,142.2
2021-11-30,146.6
2021-12-31,152.0
2022-01-31,154.5
2022-02-28,159.1
2022-03-31,159.7
2022-04-30,161.3
2022-05-31,168.3
2022-06-30,168.8
2022-07-31,172.9
2022-08-31,174.8
2022-09-30,180.5
2022-10-31,185.9
2022-11-30,188.1
2022-12-31,194.1
2023-01-31,195.7
2023-02-28,198.9
2023-03-31,200.8
2023-04-30,206.9
2023-05-31,206.7
2023-06-30,208.3
2023-07-31,214.8
2023-08-31,215.8
2023-09-30,222.3
2023-10-31,223.5
2023-11-30,228.6
2023-12-31,234.5
2024-01-31,238.4
2024-02-29,240.2
2024-03-31,242.2
2024-04-30,244.3
2024-05-31,245.2
2024-06-30,249.5
2024-07-31,253.5
2024-08-31,259.9
2024-09-30,263.2
2024-10-31,264.5
2024-11-30,271.7
2024-12-31,274.3
2025-01-31,277.0
2025-02-28,281.6
2025-03-31,284.6
2025-04-30,286.8
2025-05-31,286.8
2025-06-30,290.8
2025-07-31,295.4
2025-08-31,300.5
